task_id,label,confidence,timestamp
8e80c861,Clase_99,0.7258,2026-03-12T18:17:45.355097
300bfa69,Clase_99,0.7247,2026-03-12T18:17:46.219762
71052a27,Clase_99,0.7247,2026-03-12T18:17:48.187136
4e7f0821,Clase_99,0.7254,2026-03-12T18:17:52.150064
1dcbe28d,Clase_99,0.7252,2026-03-12T18:17:53.153772
a13954a5,Clase_99,0.725,2026-03-12T18:17:56.170670
c99b6600,Clase_99,0.7249,2026-03-12T18:17:59.217628
8fbcbd14,Clase_99,0.7261,2026-03-12T18:18:00.178273
701dfa15,Clase_99,0.728,2026-03-12T18:18:03.184414
bf227b76,Clase_99,0.7231,2026-03-12T18:18:05.193049
85656960,Clase_99,0.7279,2026-03-12T18:18:06.203311
ab639f41,Clase_99,0.7236,2026-03-12T18:18:11.202593
1aeb1463,Clase_99,0.7217,2026-03-12T18:18:14.271690
7a2a8f9a,Clase_99,0.7204,2026-03-12T18:18:16.234174
ce306ded,Clase_99,0.7226,2026-03-12T18:18:17.293801
87178628,Clase_99,0.7251,2026-03-12T18:18:18.234638
93b1d77a,Clase_99,0.7259,2026-03-12T18:18:20.204502
1ae97184,Clase_99,0.7255,2026-03-12T18:18:21.195298
3ab7ec1e,Clase_99,0.7219,2026-03-12T18:18:22.294254
51d7c117,Clase_99,0.7265,2026-03-12T18:18:24.215420
385b5930,Clase_99,0.7227,2026-03-12T18:18:25.230813
10f68fbc,Clase_99,0.7212,2026-03-12T18:18:26.227177
9160b59c,Clase_99,0.7236,2026-03-12T18:18:28.238413
2deddfac,Clase_99,0.7255,2026-03-12T18:18:29.219715
456ad9c6,Clase_99,0.7203,2026-03-12T18:18:35.288637
fbd913a9,Clase_99,0.7276,2026-03-12T18:18:39.249304
