task_id,label,confidence,timestamp
4576f585,Clase_35,1.0,2026-03-12T16:46:08.371860
05e6a2ae,Clase_9,1.0,2026-03-12T16:46:08.436789
61b7ad01,Clase_35,1.0,2026-03-12T16:46:08.504606
ee5ed14b,Clase_5,1.0,2026-03-12T16:46:08.565602
d0bb9aac,Clase_57,0.9994,2026-03-12T16:46:08.623799
f3a33ea9,Clase_62,1.0,2026-03-12T16:46:08.680673
7820cc14,Clase_35,1.0,2026-03-12T16:46:08.739570
18603b92,Clase_60,1.0,2026-03-12T16:46:08.792937
47f3bd00,Clase_60,1.0,2026-03-12T16:46:08.850306
cbf77e48,Clase_5,1.0,2026-03-12T16:46:08.906285
6cbd3023,Clase_70,1.0,2026-03-12T16:46:08.962200
aababf6b,Clase_61,1.0,2026-03-12T16:46:09.039319
da1fabad,Clase_9,1.0,2026-03-12T16:46:09.147159
7edc03ef,Clase_61,1.0,2026-03-12T16:46:09.260462
c0d1e651,Clase_57,1.0,2026-03-12T16:46:09.329636
68b6a127,Clase_5,1.0,2026-03-12T16:46:09.396568
782c214a,Clase_35,1.0,2026-03-12T16:46:09.455449
b8f1a860,Clase_68,0.9966,2026-03-12T16:46:09.511391
ece6fa1d,Clase_20,1.0,2026-03-12T16:46:09.571406
31bb709e,Clase_9,1.0,2026-03-12T16:46:09.625926
839e9478,Clase_35,1.0,2026-03-12T16:46:09.687261
5fa88c36,Clase_28,1.0,2026-03-12T16:46:09.750782
dc1caa7f,Clase_23,1.0,2026-03-12T16:46:09.812784
26a6eb54,Clase_24,1.0,2026-03-12T16:46:09.870906
ee7deaf7,Clase_20,0.9593,2026-03-12T16:46:09.930521
46020bf0,Clase_20,1.0,2026-03-12T16:46:09.984119
53e71de9,Clase_54,0.9014,2026-03-12T16:46:10.046803
8e0976d7,Clase_36,1.0,2026-03-12T16:46:10.101777
82eb454e,Clase_62,1.0,2026-03-12T16:46:10.893216
4257af24,Clase_68,1.0,2026-03-12T16:46:12.922103
e289af29,Clase_53,1.0,2026-03-12T16:46:14.997244
b54eb236,Clase_60,1.0,2026-03-12T16:46:18.936909
fe69d973,Clase_24,1.0,2026-03-12T16:46:21.933439
48193961,Clase_9,1.0,2026-03-12T16:46:25.035873
74eea276,Clase_28,1.0,2026-03-12T16:46:25.940863
57576ad4,Clase_11,1.0,2026-03-12T16:46:27.991163
677d39d6,Clase_53,1.0,2026-03-12T16:46:28.924276
9c61a1f3,Clase_61,1.0,2026-03-12T16:46:33.939029
db83878f,Clase_60,1.0,2026-03-12T16:46:35.019241
595b0d9d,Clase_9,1.0,2026-03-12T16:46:35.938727
f05cacf0,Clase_24,1.0,2026-03-12T16:46:36.987263
