task_id,label,confidence,timestamp
83b027b0,Clase_99,0.7251,2026-03-12T18:58:45.020518
d2ff4736,Clase_99,0.7237,2026-03-12T18:58:45.086728
1ea9659f,Clase_99,0.7271,2026-03-12T18:58:48.858659
c809ba67,Clase_99,0.724,2026-03-12T18:58:49.839821
bfa4d22c,Clase_99,0.7266,2026-03-12T18:58:50.836958
1b2762cf,Clase_99,0.7237,2026-03-12T18:58:51.830249
67823c3c,Clase_99,0.725,2026-03-12T18:58:54.858006
82ab6be5,Clase_99,0.7261,2026-03-12T18:58:56.866617
1a6d4036,Clase_99,0.7246,2026-03-12T18:58:57.848302
696a698a,Clase_99,0.7258,2026-03-12T18:58:59.813202
11b64b35,Clase_99,0.7193,2026-03-12T18:59:03.844204
334d9510,Clase_99,0.7287,2026-03-12T18:59:04.850441
