task_id,label,confidence,timestamp
59ad5785,Clase_99,0.7244,2026-03-12T19:02:03.972243
0d8207a8,Clase_99,0.7253,2026-03-12T19:02:04.074986
3b4b0b0a,Clase_99,0.7304,2026-03-12T19:02:04.751498
b3533767,Clase_99,0.7232,2026-03-12T19:02:07.762321
5ee5aea1,Clase_99,0.7201,2026-03-12T19:02:08.758220
989260f7,Clase_99,0.7245,2026-03-12T19:02:09.770487
600f80e9,Clase_99,0.7256,2026-03-12T19:02:14.787492
251b3aa7,Clase_99,0.7247,2026-03-12T19:02:15.790426
e909ee22,Clase_99,0.7279,2026-03-12T19:02:17.770914
29f22a4c,Clase_99,0.7223,2026-03-12T19:02:20.795728
e9f4e943,Clase_99,0.7292,2026-03-12T19:02:22.813003
a0db8994,Clase_99,0.7243,2026-03-12T19:02:23.799986
efec3bb5,Clase_99,0.7256,2026-03-12T19:02:26.814071
db179dc5,Clase_99,0.723,2026-03-12T19:02:27.808258
7124d99b,Clase_99,0.725,2026-03-12T19:02:28.801108
3cea7a2a,Clase_99,0.7251,2026-03-12T19:02:29.794370
3aaae575,Clase_99,0.7262,2026-03-12T19:02:32.860424
d1c1e128,Clase_99,0.7249,2026-03-12T19:02:33.810029
76497251,Clase_99,0.7235,2026-03-12T19:02:35.825348
fd5cbcc4,Clase_99,0.726,2026-03-12T19:02:36.819806
22b9cd7c,Clase_99,0.7243,2026-03-12T19:02:38.826758
98bd84bb,Clase_99,0.7234,2026-03-12T19:02:39.826404
78117e08,Clase_99,0.7206,2026-03-12T19:02:40.829073
93e6a4e2,Clase_99,0.7263,2026-03-12T19:02:42.832753
eeee245a,Clase_99,0.7265,2026-03-12T19:02:44.845102
7f119fc0,Clase_99,0.7238,2026-03-12T19:02:45.859542
