task_id,sentiment,confidence,timestamp
f9834926,negative,0.6512,2026-03-12T17:32:08.443262
e2720017,positive,0.7739,2026-03-12T17:32:13.148392
1ed61e73,positive,0.9609,2026-03-12T17:32:17.337194
545e3b8e,neutral,0.6439,2026-03-12T17:32:21.524543
22e76fa4,neutral,0.5199,2026-03-12T17:32:25.742048
8ec79639,positive,0.9667,2026-03-12T17:32:29.988160
2b47b592,negative,0.532,2026-03-12T17:32:34.198976
2f4d81d7,neutral,0.6002,2026-03-12T17:32:38.389509
24be0bf4,positive,0.9609,2026-03-12T17:32:42.568016
dc81a02e,positive,0.7844,2026-03-12T17:32:46.775226
a231b0d8,negative,0.8702,2026-03-12T17:32:51.095775
7e67e269,positive,0.9805,2026-03-12T17:32:55.271214
764690bf,positive,0.958,2026-03-12T17:46:33.967367
6fbe8ea0,neutral,0.6589,2026-03-12T17:46:38.181631
1c7be141,negative,0.5784,2026-03-12T17:46:42.347279
ce4b2386,negative,0.617,2026-03-12T17:46:46.531038
7c736e2c,positive,0.933,2026-03-12T17:46:50.785873
bc13ca2a,neutral,0.6002,2026-03-12T17:46:54.973678
86e911b6,neutral,0.5751,2026-03-12T17:46:59.172429
90b2128a,neutral,0.5751,2026-03-12T17:47:03.356656
272b6ba5,negative,0.822,2026-03-12T17:47:07.595357
52aff9ea,positive,0.918,2026-03-12T17:47:11.777158
d26c720d,positive,0.918,2026-03-12T17:47:15.969809
46d6666c,negative,0.8987,2026-03-12T17:47:20.149296
bde410c5,neutral,0.5822,2026-03-12T17:47:24.333681
99bf4328,negative,0.5784,2026-03-12T17:47:28.569193
79b94c5e,negative,0.5014,2026-03-12T17:47:32.748713
